_date,total_views,unique_views
2021-07-23,1,1
2021-07-24,4,1
2021-07-26,12,1
2021-07-27,2,2
2021-07-28,21,1
2021-07-29,12,3
2021-07-30,4,1
2021-07-31,2,1
2021-08-01,1,1
2021-08-02,9,2
2021-08-04,15,2
2021-08-05,118,3
2021-08-06,2,2
2021-08-08,11,2
2021-08-09,20,5
2021-08-10,1,1
2021-08-11,2,2
2021-08-12,3,2
2021-08-13,3,3
2021-08-14,14,2
2021-08-16,2,2
2021-08-17,1,1
2021-08-18,14,5
2021-08-21,7,1
2021-08-24,2,1
2021-08-25,8,1
2021-08-26,2,1
2021-08-27,2,2
2021-08-29,3,3
2021-08-30,12,3
2021-08-31,59,6
2021-09-01,16,3
2021-09-02,3,2
2021-09-06,2,1
2021-09-07,1,1
2021-09-08,10,3
2021-09-09,26,4
2021-09-10,10,1
2021-09-11,1,1
2021-09-12,1,1
2021-09-13,4,1
2021-09-14,1,1
2021-09-15,2,1
2021-09-16,3,2
2021-09-17,5,1
2021-09-18,12,1
2021-09-19,1,1
2021-09-21,1,1
2021-09-22,38,3
2021-09-23,4,3
2021-09-25,6,2
2021-09-27,5,3
2021-09-28,10,1
2021-09-29,5,2
2021-10-01,1,1
2021-10-02,10,3
2021-10-03,2,2
2021-10-04,6,2
2021-10-05,17,3
2021-10-07,27,4
2021-10-08,14,2
2021-10-09,1,1
2021-10-11,1,1
2021-10-12,2,2
2021-10-13,2,1
2021-10-14,14,3
2021-10-15,5,2
2021-10-16,4,3
2021-10-17,3,2
2021-10-18,4,2
2021-10-19,10,4
2021-10-20,18,3
2021-10-21,18,4
2021-10-22,19,2
2021-10-23,8,3
2021-10-24,7,1
2021-10-25,18,3
2021-10-27,27,5
2021-10-28,5,3
2021-10-29,25,2
2021-11-03,34,4
2021-11-04,15,3
2021-11-05,1,1
2021-11-07,35,3
2021-11-08,51,4
2021-11-09,6,4
2021-11-10,23,3
2021-11-11,4,3
2021-11-12,21,2
2021-11-13,7,2
2021-11-14,12,1
